text_id,title_tl,title_ar,au_id_id,genre_id,perm,permbib,pdf,pg_rng,word_len,source,contrib
11,Fī al-Ulūhiyya,في الألوهية,2,Sufism,http://www.worldcat.org/oclc/23141078,"al-Junayd, Abū al-Qāsim. <em>Rasā’il al-Junayd</em>. Edited by ʿAlī Ḥasan ʿAbd al-Qādir. Cairo: Buraʿī wa-l-Jiddāy, 1988",https://archive.org/details/Imam-Aljoneed/%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%AC%D9%86%D9%8A%D8%AF/,48-49,541,OCR,A. Musto
12,Fī al-Farq bayn al-Ṣidq wa-l-Ikhlāṣ,في الفرق بين الصدق والإخلاص,2,Sufism,http://www.worldcat.org/oclc/23141078,"al-Junayd, Abū al-Qāsim. <em>Rasā’il al-Junayd</em>. Edited by ʿAlī Ḥasan ʿAbd al-Qādir. Cairo: Buraʿī wa-l-Jiddāy, 1988",https://archive.org/details/Imam-Aljoneed/%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%AC%D9%86%D9%8A%D8%AF/,52-54,767,OCR,A. Musto
13,Fī al-Tawḥīd,في التوحيد,2,Sufism,http://www.worldcat.org/oclc/23141078,"al-Junayd, Abū al-Qāsim. <em>Rasā’il al-Junayd</em>. Edited by ʿAlī Ḥasan ʿAbd al-Qādir. Cairo: Buraʿī wa-l-Jiddāy, 1988",https://archive.org/details/Imam-Aljoneed/%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%AC%D9%86%D9%8A%D8%AF/,58-62,1149,OCR,A. Musto
14,Ādāb al-Muftaqir ilā Allāh,آداب المفتقر إلى الله,2,Sufism,http://www.worldcat.org/oclc/23141078,"al-Junayd, Abū al-Qāsim. <em>Rasā’il al-Junayd</em>. Edited by ʿAlī Ḥasan ʿAbd al-Qādir. Cairo: Buraʿī wa-l-Jiddāy, 1988",https://archive.org/details/Imam-Aljoneed/%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%AC%D9%86%D9%8A%D8%AF/,66-69,1024,OCR,A. Musto
15,Kitāb Dawā' al-Tafrīṭ,كتاب دواء التفريط,2,Sufism,http://www.worldcat.org/oclc/23141078,"al-Junayd, Abū al-Qāsim. <em>Rasā’il al-Junayd</em>. Edited by ʿAlī Ḥasan ʿAbd al-Qādir. Cairo: Buraʿī wa-l-Jiddāy, 1988",https://archive.org/details/Imam-Aljoneed/%D8%B1%D8%B3%D8%A7%D8%A6%D9%84%20%D8%A7%D9%84%D8%AC%D9%86%D9%8A%D8%AF/,72-76,1258,OCR,A. Musto
16,Kitāb Dawā' al-Arwāḥ,كتاب دواء الأرواح,2,Sufism,http://www.worldcat.org/oclc/62886370,"al-Junayd, Abū al-Qāsim. <em>Rasā’il al-Junayd</em>. Edited by Jamāl Rajab Sīdbī. Damascus: Dār Iqra’, 2005",https://archive.org/details/rasail_al_junayd,105-109,1648,OCR,A. Musto
17,Risāla ilā Yūsuf b. Yaḥyā,رسالة إلى يسوف بن يحيى,2,Sufism,http://www.worldcat.org/oclc/62886370,"al-Junayd, Abū al-Qāsim. <em>Rasā’il al-Junayd</em>. Edited by Jamāl Rajab Sīdbī. Damascus: Dār Iqra’, 2005",https://archive.org/details/rasail_al_junayd,191-194,1064,OCR,A. Musto
18,Kitāb al-Ḍiyā',كتاب الضياء,3,Sufism,http://www.worldcat.org/oclc/23487100,"al-Kharrāz, Aḥmad b. ʿĪsā. <em>Rasā’il al-Kharrāz</em>. Edited by Qāsim Samarrā’ī. Baghdad: Maṭbaʿat al-Majmaʿ al-ʿIlmī al-Iʿrāqī, 1967",0,28-30,667,OCR,A. Musto
19,Kitāb al-Ṣafā',كتاب الصفاء,3,Sufism,http://www.worldcat.org/oclc/23487100,"al-Kharrāz, Aḥmad b. ʿĪsā. <em>al-Imām al-Kharrāz Shaykh al-Fanā’ wa-l-Baqā’</em>. Edited by Mīʿād Sharaf al-Dīn Kīlānī. Beirut: Kitāb Nāshirūn, 2012",0,143-149,1426,OCR,A. Musto
20,Kitāb al-Kashf wa-l-Bayān,كتاب الكشف والبيان,3,Sufism,https://www.worldcat.org/title/828182369,"al-Kharrāz, Aḥmad b. ʿĪsā. <em>al-Imām al-Kharrāz Shaykh al-Fanā’ wa-l-Baqā’</em>. Edited by Mīʿād Sharaf al-Dīn Kīlānī. Beirut: Kitāb Nāshirūn, 2012",0,150-157,1714,OCR,A. Musto
